date,sku,begin_on_hand,arrivals,forecast,actual_demand,safety_stock,reorder_point,inventory_position,action,order_qty,fulfilled,stockout_units,ending_on_hand,holding_cost,stockout_cost,total_cost,rationale
2025-01-01,SKU_A,180.0,0,35.0,30.0,23.03,163.03,180.0,WAIT,0,30.0,0.0,150.0,6.0,0.0,6.0,Inventory position above reorder point
2025-01-01,SKU_B,130.0,0,25.29,24.0,12.31,88.16,130.0,WAIT,0,24.0,0.0,106.0,3.18,0.0,3.18,Inventory position above reorder point
2025-01-01,SKU_C,100.0,0,16.43,18.0,5.95,38.81,100.0,WAIT,0,18.0,0.0,82.0,2.05,0.0,2.05,Inventory position above reorder point
2025-01-02,SKU_A,150.0,0,33.25,35.0,16.45,149.45,150.0,WAIT,0,35.0,0.0,115.0,4.6,0.0,4.6,Inventory position above reorder point
2025-01-02,SKU_B,106.0,0,24.84,21.0,3.13,77.64,106.0,WAIT,0,21.0,0.0,85.0,2.55,0.0,2.55,Inventory position above reorder point
2025-01-02,SKU_C,82.0,0,16.98,17.0,2.85,36.81,82.0,WAIT,0,17.0,0.0,65.0,1.62,0.0,1.62,Inventory position above reorder point
2025-01-03,SKU_A,115.0,0,33.86,44.0,15.7,151.15,115.0,ORDER,104,44.0,0.0,71.0,2.84,0.0,2.84,Projected inventory below reorder point; ordered 104
2025-01-03,SKU_B,85.0,0,23.49,31.0,4.39,74.87,85.0,WAIT,0,31.0,0.0,54.0,1.62,0.0,1.62,Inventory position above reorder point
2025-01-03,SKU_C,65.0,0,16.99,16.0,1.99,35.96,65.0,WAIT,0,16.0,0.0,49.0,1.23,0.0,1.23,Inventory position above reorder point
2025-01-04,SKU_A,71.0,0,37.41,28.0,24.95,174.59,175.0,WAIT,0,28.0,0.0,43.0,1.72,0.0,1.72,Inventory position above reorder point
2025-01-04,SKU_B,54.0,0,26.12,24.0,14.48,92.84,54.0,ORDER,92,24.0,0.0,30.0,0.9,0.0,0.9,Projected inventory below reorder point; ordered 92
2025-01-04,SKU_C,49.0,0,16.64,16.0,2.33,35.62,49.0,WAIT,0,16.0,0.0,33.0,0.83,0.0,0.83,Inventory position above reorder point
2025-01-05,SKU_A,43.0,0,34.12,37.0,28.03,164.5,147.0,ORDER,86,37.0,0.0,6.0,0.24,0.0,0.24,Projected inventory below reorder point; ordered 86
2025-01-05,SKU_B,30.0,0,25.38,23.0,12.35,88.48,122.0,WAIT,0,23.0,0.0,7.0,0.21,0.0,0.21,Inventory position above reorder point
2025-01-05,SKU_C,33.0,0,16.42,14.0,2.05,34.89,33.0,ORDER,35,14.0,0.0,19.0,0.48,0.0,0.48,Projected inventory below reorder point; ordered 35
2025-01-06,SKU_A,6.0,0,35.13,37.0,24.82,165.32,196.0,WAIT,0,6.0,31.0,0.0,0.0,341.0,341.0,Inventory position above reorder point
2025-01-06,SKU_B,7.0,0,24.55,33.0,11.02,84.66,99.0,WAIT,0,7.0,26.0,0.0,0.0,208.0,208.0,Inventory position above reorder point
2025-01-06,SKU_C,19.0,0,15.57,17.0,2.64,33.78,54.0,WAIT,0,17.0,0.0,2.0,0.05,0.0,0.05,Inventory position above reorder point
2025-01-07,SKU_A,104.0,104,35.78,34.0,22.33,165.46,190.0,WAIT,0,34.0,0.0,70.0,2.8,0.0,2.8,Inventory position above reorder point
