date,agent_expected_conversions,baseline_expected_conversions,lift_vs_baseline
2025-03-01,41.75,41.75,0.0
2025-03-02,47.36,41.79,5.57
2025-03-03,58.01,48.17,9.839999999999996
2025-03-04,71.61,57.69,13.920000000000002
2025-03-05,55.38,45.07,10.310000000000002
2025-03-06,69.2,56.81,12.39
2025-03-07,70.49,59.11,11.379999999999995
2025-03-08,53.41,44.43,8.979999999999997
2025-03-09,54.39,44.0,10.39
2025-03-10,65.1,51.86,13.239999999999995
2025-03-11,54.61,45.64,8.969999999999999
2025-03-12,60.38,49.36,11.020000000000003
2025-03-13,54.97,44.19,10.780000000000001
2025-03-14,53.43,45.21,8.219999999999999
2025-03-15,48.27,39.69,8.580000000000005
2025-03-16,45.77,38.66,7.1100000000000065
2025-03-17,50.95,42.66,8.290000000000006
2025-03-18,50.42,42.71,7.710000000000001
2025-03-19,59.04,48.85,10.189999999999998
2025-03-20,58.58,50.05,8.530000000000001
2025-03-21,54.36,46.83,7.530000000000001
