date,channel,spend,impressions,clicks,conversions
2025-03-01,Search,113.52,6140,257,29
2025-03-01,Social,100.02,8840,199,12
2025-03-01,Display,95.0,15720,166,4
2025-03-02,Search,88.37,4821,216,24
2025-03-02,Social,113.21,9338,217,14
2025-03-02,Display,88.39,12942,133,2
2025-03-03,Search,94.06,5045,253,27
2025-03-03,Social,94.7,7949,179,14
2025-03-03,Display,106.73,18567,207,5
2025-03-04,Search,85.58,4671,231,30
2025-03-04,Social,115.3,10774,274,19
2025-03-04,Display,97.52,15875,153,6
2025-03-05,Search,97.05,4843,221,26
2025-03-05,Social,92.88,9053,201,12
2025-03-05,Display,111.98,15855,167,6
2025-03-06,Search,98.3,5532,279,32
2025-03-06,Social,105.24,10782,277,20
2025-03-06,Display,95.27,13385,136,5
2025-03-07,Search,104.39,5829,299,34
2025-03-07,Social,99.55,9735,268,20
2025-03-07,Display,93.08,17450,183,6
2025-03-08,Search,95.44,4757,234,25
2025-03-08,Social,97.7,8920,188,13
2025-03-08,Display,101.46,17460,158,5
2025-03-09,Search,96.88,5336,238,26
2025-03-09,Social,106.25,9427,193,16
2025-03-09,Display,95.06,15027,126,2
2025-03-10,Search,85.34,5450,269,28
2025-03-10,Social,94.31,9821,208,16
2025-03-10,Display,95.88,15897,140,2
2025-03-11,Search,100.12,5315,238,26
2025-03-11,Social,113.72,9919,162,15
2025-03-11,Display,92.57,17461,161,6
2025-03-12,Search,108.9,6515,301,32
2025-03-12,Social,93.46,8298,162,13
2025-03-12,Display,98.95,18306,175,6
2025-03-13,Search,96.17,4941,234,25
2025-03-13,Social,85.17,8274,135,13
2025-03-13,Display,102.19,17879,139,3
2025-03-14,Search,116.51,6092,254,27
2025-03-14,Social,86.53,9181,195,15
2025-03-14,Display,106.31,17916,158,5
2025-03-15,Search,90.9,5153,211,21
2025-03-15,Social,95.41,9224,160,13
2025-03-15,Display,101.43,16728,161,3
2025-03-16,Search,100.18,5584,234,22
2025-03-16,Social,98.98,9357,170,12
2025-03-16,Display,109.37,18585,171,5
2025-03-17,Search,98.94,5490,215,24
2025-03-17,Social,90.62,8702,210,13
2025-03-17,Display,98.66,15265,134,4
2025-03-18,Search,107.81,5997,249,25
2025-03-18,Social,109.96,10180,246,16
2025-03-18,Display,100.5,17040,150,5
2025-03-19,Search,99.9,5831,262,28
2025-03-19,Social,107.49,12418,277,19
2025-03-19,Display,95.3,15710,119,3
2025-03-20,Search,99.29,6058,260,26
2025-03-20,Social,103.94,10673,258,20
2025-03-20,Display,108.21,15013,179,5
2025-03-21,Search,102.64,5606,234,24
2025-03-21,Social,98.81,10401,256,19
2025-03-21,Display,94.77,14841,137,4
